,transposed conv kernel,small parallel trans kernel,use ConNeXt backbone,backbone convolution kernel,parallel small conv backbone,epsilon,mIoU,mAcc,allAcc
80,15,0,False,3,0,0.3,0.4290,0.6038,0.8175
81,15,0,False,3,0,0.05,0.4837,0.7064,0.8365
82,15,0,False,3,0,0.0,0.7160,0.8504,0.9302
83,15,0,False,3,0,0.1,0.4732,0.6919,0.8319
84,5,0,True,7,0,0.15,0.4445,0.6514,0.8191
85,5,0,True,7,0,0.25,0.4318,0.6210,0.8173
86,5,0,True,7,0,0.2,0.4391,0.6385,0.8182
87,5,0,True,7,0,0.3,0.4226,0.5996,0.8163
88,5,0,True,7,0,0.05,0.4618,0.6773,0.8264
89,5,0,True,7,0,0.0,0.7061,0.8413,0.9277
90,5,0,True,7,0,0.1,0.4502,0.6633,0.8209
91,5,0,True,11,3,0.15,0.4325,0.6411,0.8112
92,5,0,True,11,3,0.25,0.4142,0.6007,0.8036
